task_id -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
207 -- 1 -- 273 -- 0 -- 670 -- 28.337 -- 0 -- 2
208 -- 1 -- 285 -- 0 -- 715 -- 7.537 -- 0 -- 2
209 -- 1 -- 241 -- 0 -- 670 -- 27.935 -- 0 -- 2
210 -- 1 -- 288 -- 0 -- 714 -- 9.149 -- 0 -- 2
211 -- 1 -- 243 -- 0 -- 670 -- 27.556 -- 0 -- 2
212 -- 1 -- 287 -- 0 -- 714 -- 7.853 -- 0 -- 2
213 -- 1 -- 253 -- 0 -- 670 -- 17.464 -- 0 -- 2
214 -- 1 -- 265 -- 0 -- 670 -- 27.218 -- 0 -- 2
215 -- 1 -- 284 -- 0 -- 715 -- 10.392 -- 0 -- 2
216 -- 1 -- 282 -- 0 -- 670 -- 29.382 -- 0 -- 2
217 -- 1 -- 286 -- 0 -- 714 -- 7.644 -- 0 -- 2
218 -- 1 -- 256 -- 0 -- 670 -- 27.525 -- 0 -- 2
219 -- 1 -- 285 -- 0 -- 714 -- 9.134 -- 0 -- 2
220 -- 1 -- 285 -- 0 -- 670 -- 23.654 -- 0 -- 2
221 -- 1 -- 288 -- 0 -- 714 -- 8.963 -- 0 -- 2
222 -- 1 -- 244 -- 0 -- 670 -- 27.202 -- 0 -- 2
223 -- 1 -- 286 -- 0 -- 714 -- 10.249 -- 0 -- 2
224 -- 1 -- 284 -- 0 -- 670 -- 16.117 -- 0 -- 2
225 -- 1 -- 249 -- 0 -- 670 -- 24.098 -- 0 -- 2
226 -- 1 -- 269 -- 0 -- 670 -- 20.418 -- 0 -- 2
227 -- 1 -- 287 -- 0 -- 715 -- 11.002 -- 0 -- 2
228 -- 1 -- 264 -- 0 -- 670 -- 22.207 -- 0 -- 2
229 -- 1 -- 291 -- 0 -- 714 -- 10.901 -- 0 -- 2
230 -- 1 -- 256 -- 0 -- 670 -- 24.061 -- 0 -- 2
231 -- 1 -- 287 -- 0 -- 714 -- 8.641 -- 0 -- 2
232 -- 1 -- 276 -- 0 -- 670 -- 23.638 -- 0 -- 2
233 -- 1 -- 288 -- 0 -- 715 -- 7.324 -- 0 -- 2
234 -- 1 -- 269 -- 0 -- 670 -- 21.732 -- 0 -- 2
235 -- 1 -- 285 -- 0 -- 715 -- 10.86 -- 0 -- 2
236 -- 1 -- 289 -- 0 -- 670 -- 16.571 -- 0 -- 2
237 -- 1 -- 250 -- 0 -- 670 -- 15.312 -- 0 -- 2
238 -- 1 -- 285 -- 0 -- 715 -- 10.918 -- 0 -- 2
239 -- 1 -- 245 -- 0 -- 670 -- 15.564 -- 0 -- 2
240 -- 1 -- 286 -- 0 -- 714 -- 7.711 -- 0 -- 2
241 -- 1 -- 252 -- 0 -- 670 -- 15.462 -- 0 -- 2
242 -- 1 -- 287 -- 0 -- 715 -- 9.06 -- 0 -- 2
243 -- 1 -- 279 -- 0 -- 670 -- 21.629 -- 0 -- 2
244 -- 1 -- 285 -- 0 -- 715 -- 9.225 -- 0 -- 2
245 -- 1 -- 240 -- 0 -- 670 -- 16.834 -- 0 -- 2
246 -- 1 -- 288 -- 0 -- 714 -- 9.226 -- 0 -- 2
247 -- 1 -- 279 -- 0 -- 670 -- 26.811 -- 0 -- 2
248 -- 1 -- 251 -- 0 -- 670 -- 17.609 -- 0 -- 2
249 -- 1 -- 285 -- 0 -- 715 -- 9.115 -- 0 -- 2
250 -- 1 -- 246 -- 0 -- 670 -- 20.47 -- 0 -- 2
251 -- 1 -- 288 -- 0 -- 715 -- 8.793 -- 0 -- 2
252 -- 1 -- 250 -- 0 -- 670 -- 24.877 -- 0 -- 2
253 -- 1 -- 286 -- 0 -- 714 -- 8.647 -- 0 -- 2
254 -- 1 -- 288 -- 0 -- 670 -- 21.602 -- 0 -- 2
255 -- 1 -- 289 -- 0 -- 715 -- 7.647 -- 0 -- 2
256 -- 1 -- 280 -- 0 -- 670 -- 22.887 -- 0 -- 2
257 -- 1 -- 285 -- 0 -- 714 -- 8.752 -- 0 -- 2
258 -- 1 -- 271 -- 0 -- 670 -- 28.235 -- 0 -- 2
259 -- 1 -- 254 -- 0 -- 670 -- 20.076 -- 0 -- 2
260 -- 1 -- 287 -- 0 -- 714 -- 7.287 -- 0 -- 2
261 -- 1 -- 264 -- 0 -- 670 -- 22.766 -- 0 -- 2
262 -- 1 -- 287 -- 0 -- 715 -- 7.37 -- 0 -- 2
263 -- 1 -- 250 -- 0 -- 670 -- 18.326 -- 0 -- 2
264 -- 1 -- 287 -- 0 -- 715 -- 7.307 -- 0 -- 2
265 -- 1 -- 282 -- 0 -- 670 -- 19.77 -- 0 -- 2
266 -- 1 -- 286 -- 0 -- 715 -- 9.174 -- 0 -- 2
267 -- 1 -- 266 -- 0 -- 670 -- 19.233 -- 0 -- 2
268 -- 1 -- 285 -- 0 -- 715 -- 8.538 -- 0 -- 2
269 -- 1 -- 259 -- 0 -- 670 -- 28.183 -- 0 -- 2
270 -- 1 -- 266 -- 0 -- 670 -- 16.362 -- 0 -- 2
271 -- 1 -- 285 -- 0 -- 715 -- 8.645 -- 0 -- 2
272 -- 1 -- 278 -- 0 -- 670 -- 19.059 -- 0 -- 2
273 -- 1 -- 287 -- 0 -- 715 -- 8.898 -- 0 -- 2
274 -- 1 -- 254 -- 0 -- 670 -- 17.196 -- 0 -- 2
275 -- 1 -- 287 -- 0 -- 715 -- 7.742 -- 0 -- 2
276 -- 1 -- 252 -- 0 -- 670 -- 15.441 -- 0 -- 2
277 -- 1 -- 285 -- 0 -- 715 -- 8.856 -- 0 -- 2
278 -- 1 -- 247 -- 0 -- 670 -- 16.826 -- 0 -- 2
279 -- 1 -- 287 -- 0 -- 715 -- 8.989 -- 0 -- 2
280 -- 1 -- 253 -- 0 -- 670 -- 27.017 -- 0 -- 2
281 -- 1 -- 260 -- 0 -- 670 -- 16.82 -- 0 -- 2
282 -- 1 -- 286 -- 0 -- 714 -- 7.244 -- 0 -- 2
283 -- 1 -- 261 -- 0 -- 670 -- 23.603 -- 0 -- 2
284 -- 1 -- 287 -- 0 -- 715 -- 7.517 -- 0 -- 2
285 -- 1 -- 242 -- 0 -- 670 -- 23.124 -- 0 -- 2
286 -- 1 -- 292 -- 0 -- 715 -- 7.703 -- 0 -- 2
287 -- 1 -- 255 -- 0 -- 670 -- 23.026 -- 0 -- 2
288 -- 1 -- 285 -- 0 -- 714 -- 10.561 -- 0 -- 2
289 -- 1 -- 279 -- 0 -- 670 -- 21.531 -- 0 -- 2
290 -- 1 -- 286 -- 0 -- 714 -- 7.973 -- 0 -- 2
291 -- 1 -- 268 -- 0 -- 670 -- 27.835 -- 0 -- 2
292 -- 1 -- 268 -- 0 -- 670 -- 23.965 -- 0 -- 2
293 -- 1 -- 287 -- 0 -- 714 -- 8.028 -- 0 -- 2
294 -- 1 -- 244 -- 0 -- 670 -- 19.79 -- 0 -- 2
295 -- 1 -- 286 -- 0 -- 714 -- 8.042 -- 0 -- 2
296 -- 1 -- 258 -- 0 -- 670 -- 16.771 -- 0 -- 2
297 -- 1 -- 287 -- 0 -- 714 -- 8.732 -- 0 -- 2
298 -- 1 -- 252 -- 0 -- 670 -- 16.851 -- 0 -- 2
299 -- 1 -- 288 -- 0 -- 714 -- 7.41 -- 0 -- 2
300 -- 1 -- 251 -- 0 -- 670 -- 16.075 -- 0 -- 2
301 -- 1 -- 287 -- 0 -- 714 -- 7.626 -- 0 -- 2
302 -- 1 -- 289 -- 0 -- 670 -- 24.018 -- 0 -- 2
303 -- 1 -- 255 -- 0 -- 670 -- 18.35 -- 0 -- 2
304 -- 1 -- 286 -- 0 -- 714 -- 8.72 -- 0 -- 2
305 -- 1 -- 254 -- 0 -- 670 -- 18.051 -- 0 -- 2
306 -- 1 -- 287 -- 0 -- 714 -- 7.671 -- 0 -- 2
307 -- 1 -- 239 -- 0 -- 670 -- 20.519 -- 0 -- 2
308 -- 1 -- 286 -- 0 -- 715 -- 8.814 -- 0 -- 2
309 -- 1 -- 255 -- 0 -- 670 -- 27.648 -- 0 -- 2
310 -- 1 -- 291 -- 0 -- 714 -- 7.638 -- 0 -- 2
311 -- 1 -- 255 -- 0 -- 670 -- 21.864 -- 0 -- 2
312 -- 1 -- 286 -- 0 -- 714 -- 7.436 -- 0 -- 2
313 -- 1 -- 285 -- 0 -- 670 -- 15.725 -- 0 -- 2
314 -- 1 -- 258 -- 0 -- 670 -- 18.192 -- 0 -- 2
315 -- 1 -- 285 -- 0 -- 715 -- 8.681 -- 0 -- 2
316 -- 1 -- 244 -- 0 -- 670 -- 23.567 -- 0 -- 2
317 -- 1 -- 286 -- 0 -- 714 -- 7.903 -- 0 -- 2
318 -- 1 -- 285 -- 0 -- 670 -- 27.471 -- 0 -- 2
319 -- 1 -- 287 -- 0 -- 715 -- 7.532 -- 0 -- 2
320 -- 1 -- 280 -- 0 -- 670 -- 29.62 -- 0 -- 2
321 -- 1 -- 287 -- 0 -- 714 -- 8.108 -- 0 -- 2
