taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores
202 -- 2 -- 3129 -- 358828 -- 5 -- 311.788755 -- 1.603
222 -- 2 -- 4032 -- 359043 -- 5 -- 313.38154 -- 1.465
228 -- 1 -- 2205 -- 358903 -- 6 -- 316.957458 -- 0.802
200 -- 2 -- 3544 -- 358934 -- 6 -- 317.39826 -- 1.597
219 -- 2 -- 5137 -- 358915 -- 5 -- 318.70788 -- 1.497
197 -- 2 -- 4895 -- 358898 -- 6 -- 333.049774 -- 1.577
198 -- 2 -- 4490 -- 359304 -- 6 -- 336.800433 -- 1.576
201 -- 2 -- 3143 -- 359148 -- 6 -- 344.584721 -- 1.608
226 -- 1 -- 19779 -- 358978 -- 5 -- 513.704568 -- 0.865
227 -- 1 -- 13764 -- 358809 -- 6 -- 519.418083 -- 0.887
225 -- 1 -- 28442 -- 408057 -- 5 -- 521.1564990000001 -- 0.888
206 -- 1 -- 24128 -- 358914 -- 5 -- 524.523448 -- 0.875
207 -- 1 -- 17238 -- 358939 -- 5 -- 529.4485560000001 -- 0.886
208 -- 1 -- 5094 -- 358800 -- 5 -- 535.565287 -- 0.887
204 -- 1 -- 19341 -- 358741 -- 5 -- 541.382799 -- 0.9370000000000001
209 -- 1 -- 23685 -- 359159 -- 6 -- 546.138495 -- 0.904
213 -- 1 -- 15949 -- 359052 -- 6 -- 548.677858 -- 0.921
214 -- 1 -- 5811 -- 358888 -- 5 -- 553.441806 -- 0.918
210 -- 1 -- 10704 -- 358700 -- 5 -- 555.074385 -- 0.915
212 -- 1 -- 1958 -- 358934 -- 5 -- 555.805548 -- 0.905
203 -- 1 -- 5093 -- 358854 -- 6 -- 557.841331 -- 0.92
205 -- 1 -- 2021 -- 359069 -- 6 -- 558.724516 -- 0.917
211 -- 1 -- 12544 -- 359249 -- 6 -- 560.044561 -- 0.906
